label,tweet
POSITIVE,Do you want to see a debate between narendramodi Ji and RahulGandhi on corruption #Scared2Debate
NEGATIVE,Still no party ticket 4u Urmila joined just yest and she is an candidate
NEUTRAL,#BJPJumlaManifesto #WomenBewareOfBJP #LokSabhaElections2019
NEGATIVE,Mr Wagthetail Wagle the Paglekindly attend SSC boards to understand that communist r anti democracyidiot RatanSharda55 rahulroushan TrueIndology theskindoctor13 AbhishBanerj narendramodi docvishalsawant rishibagree ShefVaidya TVMohandasPai ashokepandit
NEUTRAL,#BJPJumlaManifesto #WomenBewareOfBJP #LokSabhaElections2019
NEUTRAL,Democracy is all about debate and discussion Why is narendramodi Ji #Scared2Debate RahulGandhi on Rafale It means #ChowkidarHiChorHai
POSITIVE,Very true I feel the same for you And yes I wasnt born in shaakha but in India which is not one familys jaagir Hope after a small pranayam your bubble burst and you will be able to see things more clearly
NEUTRAL,Rahul Gandhi bhut badi chor hi ji Yai dash ko bichdigyi Ji modiji hi to mumkin hi ji Jai SRI Ram Jai hind Jai Bharat vandyimatrm Main bhi chowkidar
POSITIVE,Dear PM Scared of debating me on corruption I can make it easier for you Lets go open book so you can prepare 1 RAFALEAnil Ambani 2 Nirav Modi 3 Amit ShahDemonetisation #Scared2Debate RahulGandhi ashokgehlot51 INCIndia SachinPilot
NEUTRAL,Rahul Gandhi ki yai to hona hi tha Ji chamcho choro ki sardar hi ji chor chor mosyira Bhai hi ji kaml nath or Rahul Gandhi Yai dash ko lutni ka kam krtyi hi ji modiji dash bhakt hi ji Jai SRI Ram Jai hind Jai Bharat vandyimatrm Main bhi chowkidar
POSITIVE,If you are always seeing RahulGandhi s face how can you be able to know the employment rate in India One thing you should know after #LokSabhaElections2019 RahulGandhi will become unemployed If you want proof just wait till the result of #LokSabhaElections2019 comes
POSITIVE,Thanks my two suggestions on jobs and careers ecology have reflected I did not find the same suggestions made to them also incorporated in BJP4India patra #BJPJumlaManifesto #CongressManifesto #ChowkidarChorHai #BJP420Party
POSITIVE,Yes true but trust me my housekeeping named nitesh is working very hard there
POSITIVE,all the best India
NEUTRAL,Swamy39 PMOIndia RSSorg RahulGandhi priyankagandhi AmitShah
POSITIVE,Wow what a fake story congrats now you are Jumla Man like Mr Modi but trust me you wont get 2 Rs for this tweet from BJP IT cell
NEUTRAL,INCIndia sardesairajdeep RahulGandhi republic sagarikaghose #LokSabhaElections2019
NEGATIVE,See i will give you one example you are total 5 peoples who are giving your best to give me shit but I am alone and already filled your mouth with that shit
NEUTRAL,Ishi ke liye Congress tadap rahi thhi jaise hi satta mila yek jhatke me hi kamalnaath ne 300 Caror bana liya MP ki janta ki vikas aur Kisaano ke karj maafi ke naam par Congress loot macha rahi haiYahi hai Congr ko Vote dene ka parin aam Rahul gandhi Chor
NEGATIVE,Yea thats the reason every community fear why the hell they are increasing and from where they are coming so killing 50100 people in a mosque wont help you guys because you dont know the counting of them
NEGATIVE,I say RahulGandhi you are shortsighted amp arrogant amp antinational in preparing your INCIndia manifesto which seems to have been prepared in Pakistan
NEGATIVE,It looks like your discussed only with separatist and terrorist
NEUTRAL,INCIndia President RahulGandhi ndtv IndianExpress
NEUTRAL,How you know
NEUTRAL,INCIndia RahulGandhi priyankagandhi Swamy39 PMOIndia BJP4India RSSorg
NEUTRAL,MODI To CORE
POSITIVE,Yes they are 22 now and make habit of it because they will be increasing more in future as they have started biting and transforming humans into Green world
NEUTRAL,North indian peoples is not httpeducatedmy vote for #RahulGandhi #MyFirstVoteForModi
NEUTRAL,BJP4India AmitShah ashutosh83B RepublicBharat RahulGandhi priyankagandhi sardesairajdeep sardanarohit
NEUTRAL,Congress manifesto is totally antinational to break the country
NEGATIVE,Congress Manifesto is a sad reflection on the incompetence of their past Govts to deliver Their credibility is severely dented RaGas performances as MP in Parliament and in Amethi are poor Manifesto of any party will not be of much importance
NEGATIVE,So why she stays there ask her to come Back and earning money in Dirhams wearing Burkha is not odd for you but you have faith that Muslims will destroy Hindu
POSITIVE,Rahul gandhi come pune main best rahulgandhi pm pune rahulgandhi sarkar chiye pune main best rahul gandhi sarkar chiye pune main
POSITIVE,Congress keeps its promises and delivers and implements all its decisions properly #CongressManifesto2019 RahulGandhi INCIndia MahilaCongress JasdeepSinghJD DickDarryl We Act as custodians of democracy
POSITIVE,Yeah she is anytime better than Urmila MatondkarRahul Gandhi must review his decision
NEGATIVE,281 stolen by RahulGandhis CM in MP in 3 httpmonthsSo if INCIndia comes to rule India theyll loot 281 20 quarters 33 states 185460 cr in 5 yrs all over IndiaAnd mind well looting rate of GandhiVadraPC family will be much higher So let us keep thieves out
NEUTRAL,SIR or theek isi tarah hamare pyaare INCIndia or RahulGandhi ji ko bht bht mubarakaa #70saal se #gareebii mita re h or abtak lakho gareeb mit gye or #Agenda19 abhi b gareeb hi h ye srf #alookosona bna paaye h bss
POSITIVE,Motilal Vohra Treasurer An integral part of almost all frauds Especially holds d key secrets of NH ITS IMPORTANT THAT HE IS KEPT IN GOOD HUMOUR STOP YOUR FOOLING METHODS
POSITIVE,Whose voice u heard tell me which citizen told u to remove special rights of army in kashmir dont bluff its only Sam uncle suggested u to get vote from 10 extreme Muslims
NEUTRAL,httpsyoutubekjFIkapIuCE Need certificate of secularism ReallySwara sonamakapoor konkonas RahulGandhi priyankagandhi ndtv Learn something from ThePraharsh BJP4India RSSorg Yeah to Rashtra ke saath ye uske kilaf There is no other option
NEGATIVE,When u politicians stop lying and playing with the common man have some shame on yourself and pls pitty the people
POSITIVE,Nice boot licking Next what
POSITIVE,Countdown start whos the ruled NATION FEDERALFRONT NDA UPA South INDIANS lead the country We must change the India We are on Why we can South dreams TwitterMedia #Media trspartyonline JasaRamesh KTRNews narendramodi RahulGandhi RTcom at All Saints High School
POSITIVE,Agree And just that amount be sufficient to fund 5 years of NYAY everyone be happy
NEUTRAL,BJP4India INCIndia PMOIndia narendramodi RahulGandhi
NEUTRAL,Rahul Gandhi need not face these channels one on one as he gives Envelop to all the channels
NEUTRAL,INC involved in havala cash racket crores cash seized AP was at the scene who is the chor here
NEGATIVE,What ever Modi says it is not ro be believed Not even 2 promises are fulled
NEUTRAL,How many homes did Kashmiri Pandit get in 5 years What about 370
POSITIVE,Yes once you can be well if cobra bites you but not from Scorpion bite like RSS
NEGATIVE,No brother You just need to curse your father whose genes have ensured your low IQ snarl without even verifying the authenticity of the video The video was amitmalviya creationan edit for some sadist fun thats it
POSITIVE,You are now talking like a senseless fellow because in Saudi Arabia its not necessary to wear or government force to wear the same so we are Indians and we are much more far from islamic country Its upon peoples belief to wear or not no one is forcing them to do so
NEUTRAL,Whole india exept bjp apealing to them he will be inthe parliament is need of the hour
NEGATIVE,Thats why some people call him a Maniac Not me but some do
NEUTRAL,Ushi ke bhrose 65 saal raaj kiya
POSITIVE,varungandhi80 When you are changing your name to Varun Modi from Varun Gandhi as you said in an interview that you dont have any relation with Gandhi Family So please change your name RahulGandhi priyankac19 priyankagandhi
NEGATIVE,History Says he is much needed no 1
NEUTRAL,#BJPJumlaManifesto
NEUTRAL,MP me kisano ke achhe din nhi aaye magar kamalnath ke Aur cong ke achhe din aagye 281 Cor cash susasan ke dushasan kamlnath RahulGandhi INCIndia narendramodi AmitShah sudhirchaudhary ChouhanShivraj RakeshSinha01
POSITIVE,Then why are you getting jittery The deficiencies in their Manifesto should help Congress to win the election
NEGATIVE,RahulGandhi rssurjewala priyankac19 Its not breach for code of conduct Can anyone use our Army for votes Congress must complain to EC
POSITIVE,RahulGandhi many strong cong men are leaving congress party now but I am sure they will be back when congress party will do well amp i also know that small poor amp loyal party workers will be left alone at that time
POSITIVE,Nowthis is a news Well the Bhakts will celebrate the ranking as the achievement of their God Congratulations
NEUTRAL,Jaimahakal
NEUTRAL,#ModiSpeaksToNews18 RahulGandhi Wanted to Wash Bofors Stain on His Father Says PM narendramodi Modi on Congresss Rafale Pitch
POSITIVE,Better than Hinduvata pig
NEUTRAL,narendramodi anupgandhi8 nijoshi PRupala #PhirEkBaarModiSarkar
POSITIVE,Hi AK I feel sorry for you its so easy to play with your mind Just check this video till the end and will discuss in person
POSITIVE,Even a donkey is better than feku
POSITIVE,BJP4India narendramodi AmitShah INCIndia RahulGandhi Its a very important point to ponder upon amp initiate corrective measures necessary to remove the anomaly soon enough
NEUTRAL,Sapna Dekh Raha Hain kya Areh bhagwaan bhi kahe na ki modiji haar sakte Hain Varanasi se toh main bhagwaan ji ko review petition dayar karunga ki phirse soche
POSITIVE,Galat dikhaya Hain Dont spread fake news Modiji said that he never said that all works are fulfilled but the works have started and in next upcoming years we will see new India Sharam aani chahiye aapko
NEUTRAL,rahul ji aap kaha kiya kounse kamre mai kiya
NEUTRAL,And priyankagandhi finally makes it to Bijnor UP after her joint rallies with RahulGandhi were called of yesterday #LokSabhaElections2019
NEUTRAL,Aur jab chamchagiri Karna ho toh Congress mein jaayekyun chamche
POSITIVE,Pagal samjha Hain Apne tarah ki Congress Jaise Chor party ko vote denge Vote nhi laat maarke bhagayenge
NEUTRAL,RahulGandhi priyankagandhi ashutosh83B thewirehindi sardesairajdeep BJP4India RepublicBharat manakgupta sardanarohit
POSITIVE,ShekharGupta look at master of #stupidsofindianpolitics RahulGandhi new hand symbol of 6 finger showing an extra BIG finger in the middle which he will show his supporters after the election Its time #stupidsofindianmedia like you become honest to expose this fact to public
NEUTRAL,Rahul j
NEUTRAL,This is India under MODI #SAD ndtv PrannoyRoyNDTV UN dawncom nytimes washingtonpost gulfnews khaleejtimes CNN FareedZakaria POTUS RahulGandhi #TerrorAct
NEUTRAL,Bharat ki Janta gareeb ho skti hai Lekin murrkh nahi
NEUTRAL,Kuch bhi kar le aap aap nahi jeetne waale koi bhi chunaav
POSITIVE,Congress manifesto makes clear sense hoping for a healthy governance bjp manifesto to make sense but lack perception
NEUTRAL,ashutosh83B thewirehindi sardesairajdeep RahulGandhi priyankagandhi
POSITIVE,Lok Sabha Elections 2019 Its loyalty vs emerging ground reality as Smriti Irani again takes on Rahul Gandhi in Amethi #myfirstvoteformodi #ModiSpeaksToNews18
NEGATIVE,RahulGandhi ka ek hi nara hai Bolne me kya jaata hai I have only one word for him Pathetic
NEUTRAL,RahulGandhi Swamy39 Does rahul ghandhi have answer to this corruption deals
NEUTRAL,Chor Rahul Gandhi
NEGATIVE,Get him booked under provisions of unaccounted money No media is going to Tom Tom it as they did carry any piece about unearthing money
POSITIVE,Hope media the bandar family will see massive crowds at rally of pm modi in latur now despite heat if namdar has guts hold a rally of only 20 that come at pm modi rally
NEGATIVE,No never to Modi
POSITIVE,Lair chor Rahul Gandhi resign from yr post n go to jailkutta surjewala kaha h Bolta kyu nahi ab kuch rssurjewala RahulGandhi INCIndia only NaMo can save narendramodi BJP4India
NEUTRAL,Lakin Jab Nirav Modi chla gya tab rules kha the agar uhin chlta gya toh Kisaan jldi hi khatam ho jayege narendramodi RahulGandhi CNNnews18 INCIndia aajtak ndtv ABC news18dotcom
POSITIVE,Another member of Breaking India gang pushing ISI agenda Divide Hindus consolidate Muslims Couldnt fool Modi unlike Advaniji
POSITIVE,Dear Modiji Please make it clear to Congress Party that out of 26 crore people living below poverty line as informed by Rahul Gandhi why only one crore people are promised 72000 Rupees What about the remaining 25 crore people #MainBhiChowkidar
POSITIVE,Sir god knows whom you discussed this with the ideas seem to be a repetition of what your forefathers have been dishing out what is new
POSITIVE,This is how RahulGandhi beat narendramodi in #LokSabhaEelctions2019 #CongressManifesto You will like it must watch httpsyoutubeokQhZeJq3RM via YouTube
NEUTRAL,Lolzzz
NEGATIVE,No bro am not happy and let me tell in my family their are more Hindus compare to Muslim am just telling you they dont have intention to solve this issue Please open your eyes otherwise you will be getting nothing just for supporting any party
POSITIVE,so pranab da trolling RahulGandhi and supporting narendramodi
NEUTRAL,httpbitlyPGNYAY priyankagandhi RahulGandhi sanjaysinghpa20 abhinavhights AjayChourasia20 DMarskole76 pattainc VTankha digvijaya28
NEUTRAL,Lakin Jab Nirav Modi chla gya tab rules kha the agar uhin chlta gya toh Kisaan jldi hi khatam ho jayege narendramodi RahulGandhi CNNnews18 INCIndia aajtak ndtv ABC news18dotcom
POSITIVE,No you are wrong politicians use their community to fill their vote banks and give relief to their friends and relatives we as a normal people think he is from our community and he will be doing best for us but believe me they give shit to their voters after they Win elections
NEGATIVE,RoGa is BLIND Uneducated he is not able 2see hw hs being manipulated by Sup Educated Got only 20 Cr of 281 Cr collected Congress president Rahul Gandhi calls BJP manifesto voice of an isolated man Smriti Irani hits back#13 httpszeenewsindiacomloksabhageneralelections2019congresspresidentrahulgandhitrashesbjpmanifestocallsitsvoiceofanisolatedman2193836html#13 Shared via ZeeNews
NEUTRAL,Will Do Away With Exam Fee For Government Posts Says Rahul Gandhi
NEUTRAL,Will Do Away With Exam Fee For Government Posts Says Rahul Gandhi httpswwwndtvcomindianewswilldoawaywithexamfeeforgovernmentpostssaysrahulgandhi2019855
POSITIVE,We totally agree Like Shatrughan Sinha said BJP is a one man show two men army Their manifesto has also been made by these two guys on a closed room Consultations is a taboo in the BJP It is just one mans writ No internal democracy
POSITIVE,RahulGandhi sar mujhe paise 65000 hazar rupay chahiye kripya aap meri madad kare please help me my account number 520101051796313 IFSC code corp0001647 please help sir mujhe paise 3 ghante mein chahiye
NEUTRAL,Then what was happening before 2014 Anayay
NEGATIVE,Sorry but you are yet once again lying
NEGATIVE,Chowkidar Uth Jao Kab tak sote Rahoge Kitne bachhe ko suicide krte dkhoge #muleacampaign #NoActionNoVote narendramodi AmitShah PrakashJavdekar NitishKumar SushilModi INCIndia RahulGandhi priyankagandhi yadavtejashwi abpnewstv ZeeBiharNews CNNnews18
NEUTRAL,How do you know MrPappu We need the proof of both the congress and the BJP TajinderBagga MajorPoonia iBackModi KapilMishraIND
NEGATIVE,BJP Manifesto Voice Of Isolated Man Says Rahul Gandhi In Swipe At PM
NEGATIVE,BJP Manifesto Voice Of Isolated Man Says Rahul Gandhi In Swipe At PM httpswwwndtvcomindianewsloksabhaelections2019rahulgandhisaysbjpmanifestovoiceofanisolatedmancallsitshortsig2020038
NEUTRAL,Rahul gandhi
NEUTRAL,Kala koya
POSITIVE,#IStandWithPriyankaChaturvedi Pappu Chor RahulGandhi has been advocating that women would play a big role in corrupt INCIndia Pappu in his interview with Arnab kept on ranting women empowerment like a mad man Priyanka has supported this dimwit amp deserved a ticket this time
POSITIVE,The result of election will show whose manifesto is best
POSITIVE,Marwaris celebrate Gangaur across India It is very popular amongst young newlywed girls
POSITIVE,A big joke Havent you all people have work to gather your part members at root level
NEUTRAL,13 AGRICULTURE RURAL ECONOMY Advocate for a sound crop insurance policy that is profarmer bbhavyabishnoi bishnoikuldeep bishnoirenuka priyankagandhi RahulGandhi INCIndia
POSITIVE,Pls watch Congress leader Former Minister Milind Deora interview on Jai Maharashtra channel httpsyoutubeALda1lkGnWo milinddeora RahulGandhi INCMaharashtra INCIndia SachinPilot priyankac19 PriyaDuttINC sanjaynirupam
POSITIVE,Honestly with nation in Mind all parties except BJP should withdraw from the fray to give kanhaiyakumar a thumping victory Forget parties he deserves to be in Parliament as an individual
NEUTRAL,Chuyo ko vikas ni dikhta rahulgandhi
NEGATIVE,There is no one so called #awardwapsigang to answer this poor lady DrKumarVishwas narendramodi aajtak ShashiTharoor sardanarohit RahulGandhi AnupamPKher anjanaomkashyap PiyushGoyal
POSITIVE,3 things bring about Love Religion Humilitygenerosity Sayings of Imam Ali as I believe RahulGandhi possesses these qualities in him Lets hope 4 a better future khushsundar yasminsana11 aliabids priyankac19 MirAliAsgar divyaspandana JAslamBasha BhavikaKapoor5 at Mumbai Cafe
NEUTRAL,Hahha Baki saal 2014 tak nahi mila aage kaise milega
POSITIVE,Corrected The BJP manifesto is created through aspirations of public The voice of Indian people it is wise and powerful The Congress Manifesto is created in a closed room with few dumb and lost persons The voice of an isolated party it is short sighted and irrelevant
POSITIVE,Bhai Tu Kuch BHI bol saab ki maaloom hai ke pehle decision 10 JP pe hote the aur aab Tuglak road pe hote hai
NEUTRAL,#rahulgandhichorhai Pappu Chor RahulGandhi
POSITIVE,If you cannot understand what he did in 5 years list is longbut then there is no hope for people like you you are probably on of those persons who love Rahul Gandhi coz 72000 per year at tax payers expense
NEGATIVE,This family is involved in everything from Dalaali to scams to Hawala operationsEvidence is here RahulGandhi INCIndia abpnewstv ndtv publictvnews tv9kannada aajtak RajatSharmaLive HDDevegowda HDKumaraswamy1
NEGATIVE,So claims Pappu Chor RahulGandhi full of hatred for our loving PM narendramodi Those with hatred can not see d bigger picture Get well Pappu Chor #ModiHaiTohMumkinHai
POSITIVE,All the best RG Congarts
NEGATIVE,If nyay is for thukde gang why dont you ask the benefitiaries 20 crore poor indian people anti nationalAND 317 lakh crore poor tax payers monyaccumulated through disasterous demonitisation waiver tofew chronies is nationalism but 36 lakh crore to 20 crore people
NEGATIVE,Congress be no bina kaam ke hi salary deni suru kar di hai
NEUTRAL,Eak pappu jo baaki desh washio ko bhi pappu banane ke kosis kar raha hai
POSITIVE,Aap party me daal do
POSITIVE,#CongressMenifesto was created thru discussion wid #Pakistan #China #terrorist and JampK separatist Totally anti #national amp AntiCitizen #Manifesto Bcoz #RahulGandhiChorHai The #BJPSankalpPatra was created through discussion wid millions of Ppl True voice of every #Indian
POSITIVE,Whats happened to bjps mandir promise from 1996
NEUTRAL,Just copy of previous
NEGATIVE,They do always do Did in 1975 did in 2014 Will do this time also They dont vote like free bees
NEGATIVE,No wonder INCIndia is called party of criminals and is being presided over by Hawala king RahulGandhi
NEUTRAL,An end to Rahul Gandhis theatrical #
POSITIVE,Cong menfesto was made by courroupt people like chidambaram And was made by order of Gandhi familykeeping in mind the anti Indian and antiforce in mind While bjp menfesto was made by group of honest people led by feedback of millions of people While keeping poor in mind
NEGATIVE,But #Chowkidar chor hai And where is RahulGandhi the rat is hiding And where is a presser by rssurjewala
POSITIVE,#ModiSpeaksToNews18 interview of RahulGandhi by sardesairajdeep coming up soon questions will be related to family and holidaying ONLY both important for Indians
NEUTRAL,Ise khte hai Chor Chor mausera Bhai Ek chorko pakda to dusre ko dukh or dar dono lgne lage Isi liye bhoukne lge kalutosh actually someone gave this name which is appropriate for black heart and black mind person #MainBhiChowkidar #voteformodi
POSITIVE,#TuesdayThoughts Muhammad Ismail founder of the song called secular Indian Union Muslim League justifying support amp creation of Pakistan do the likes RahulGandhi RahulEaswar ShashiTharoor ampothers still believe that the IUML stands for secularism see his words TOTALLY CHILLING
NEGATIVE,You are losing broAll surveys say that
POSITIVE,Pappu Chor RahulGandhi UPA responsible for all bad loans Pappu has been giving money to all d fugitives who ran away while Modi is bringing them back to face justice #rahulgandhichorhai
NEUTRAL,JVSinghINC RahulGandhi SajjanSinghparm SanjeevKapoor LKAdvani digvijaya28
NEGATIVE,Bro there is difference between being a Bhakt being fooled so I dont mind waiting more 2 years because since 1996 in BJPs Manifesto it shows Mandir Wahi Banayenge they are doing politics with God which you guys are not understanding
NEGATIVE,Now forget these emotions I am angry Time to act against these hooligans
NEUTRAL,Mr Rahul who is Chor 281 crore in Madhya Pradesh It seaz why not speak you
POSITIVE,Sir if voted to power you will definitely make the country bankrup
NEGATIVE,Yes its enough short sighted to take this country forward You and you ur Congress can do nothing but lie and cheat the people of this country Shame on you
NEUTRAL,Notebandi Se Mujhe aur Bharat ki Janta ko Koi nuksan Nahin Hua Hua To Sirf Mayawati Akhilesh Mulayam Lalu aap Sabko Hua Hai
NEGATIVE,ArnabGoswamiRtv sudhirchaudhary sirs I am disappointed not raising common mens voice RahulGandhi and his mother are on bail and gathbandhan with sons of fodder scamcontesting election and talking of imandari Kaliyug is on full throttle chor must be exposed
NEUTRAL,OfficialUrmila INCIndia BJP4India BJP4Karnataka INCGujarat rahulkanwal RahulGandhi sureshpprabhu SushmaSwaraj rss RSSorg ShivSena
POSITIVE,IndiaEci SpokespersonECI Please investigate If this is INCIndia candidate from Karnataka as claimed in tweet RahulGandhi INCIndia priyankagandhi please take disciplinary action
NEUTRAL,RahulGandhi kuchh kam bhi karlo yaar
NEUTRAL,What is your manifesto
POSITIVE,Hope arunjaitley ji will earn his salary in at least these two months
POSITIVE,This manifesto is created through discussion that means your previous manifestos were created without discussion so you always fooled us Pl Say something about your promised farm loan waiver and stipend to unemployed youths in MP Rajasthan Karnataka and chhatisgarh no reply
NEGATIVE,Modijee became PM tab shaa Mirchi lag gaya Yan shaa Mirchi galah meh atak gaya
NEUTRAL,Ye Janm bakwas Ghoshna Patra hai
POSITIVE,Yes RahulGandhi might become the PM of India Yes He might win the #LokSabhaElections2019 And I really dread the day if this day comes Imagine him becoming the leader of #India
POSITIVE,In total agreement
NEUTRAL,httpsabpnewsabpliveinindianewstelanganapoliceseizers8crorecashbelongingtobjpsstateunit1103927 INCIndia KSRathoreINC RahulGandhi rajanipatilin JenabChandel MahilaCongress HimachalPMC INCHimachal
NEUTRAL,Shi kha aapnetbhi to ek me BHARAT h aur ek me khangress
NEGATIVE,Main toh gol matol ho kar has raha tha but wasnt surprised at all khushsundar MirAliAsgar BhavikaKapoor5 JAslamBasha yasminsana11 ashokgehlot51 GurunadhRaoJett aliabids ShabnamMahi ahanafatima786 SaniaNishtar sanashiekh narendramodi RahulGandhi ArvindKejriwal at Mumbai Cafe
POSITIVE,Of course RahulGandhi is talking about only truth or fact He is not a liar We are very happy with him
NEGATIVE,And in a million ppl you did not find a single Hindu Shame
NEUTRAL,Jisne Aanay Kiya Deshke Janthaka Jisne Aanay Kiya Senaka Jisne Aapman Kiya Deshke Samvidhanka Jisne Appman Kiya Vanika Whoo baath karrehe naayka Jiske samajnaaye Saal or Maheeneki Jisko Raajyaka Mantri Honeke Hunarnahi Chale Desh Chalene
NEUTRAL,State Vice President of BJPs alliance parter IPFT Shri Ananta DebBarma joined Congress today in the presence of Honble INCTripura President Maharaja Shri PradyotManikya ji #VoteForCongress INCIndia RahulGandhi KimHaokipINC priyankagandhi
NEUTRAL,Has he gone through the Indian ConstitutionPerhaps the Italian Constitution which does not have any mention of such things
NEGATIVE,Person with half knowledge is more dangerous than illiterate Open chalange Any citizen can claim if congress has approached any common citizen for there suggestions With proof No farting business please
NEGATIVE,If you would not try to understand real pics of society you would not get power back pls try to change your advisers They have not courage to show you real picture You can take my services
POSITIVE,Yesterday IPFT Youth President Noatiasukla join Congress in presence of INCTripura President Maharaja Shri PradyotManikya ji #VoteForCongress INCIndia RahulGandhi priyankagandhi KimHaokipINC
NEUTRAL,NavbharatTimes punjabkesari ShekharGupta sardesairajdeep RahulGandhi PrannoyRoyNDTV
NEGATIVE,Shaukath Ali from Assam was allegedly beaten and forced to eat Pork which is haraam in Islamic Law Just for selling beef Is this Democracy khushsundar yasminsana11 BhavikaKapoor5 MirAliAsgar priyankac19 SrBachchan sonamJain001 JAslamBasha RahulGandhi GurunadhRaoJett
NEUTRAL,Right
NEUTRAL,Q ki Chokidar khud nokri krega simple desh ka paisa bachayga
NEUTRAL,Shuru ho gaya corruption ka nanga nach
NEUTRAL,Jhuth bilkul
POSITIVE,Rahul Gandhi ji its not about room its about the true and real information given by narendramodi which they are going to deliver those things in next 5 years Rahul Gandhi ji you dont know anything about politics please go back And once again you proved that you are a pappu
NEUTRAL,Us closed room ka chawkidar tu tha kya
NEGATIVE,Sumit Awasthi why havent u ask a single questions to Rahul Gandhi on RAFAEL lie spoken by him U have destroyed your own image
NEUTRAL,narendramodi DevFadnavis RavindraWaikar bjpprakashmehta RahulGandhi PawarSpeaks Deepakk75058621 misunilshinde AhirsachinAhir AGSawant Lokhandwalain RajThackeray uddhavthackeray milinddeora santosh8088 LoksattaLive abpmajhatv JaiMaharashtraN zee24taasnews
NEGATIVE,Sorry FNB Baba Congress manifesto is copied from your old manifesto prepared by your ancestors more over it makes no difference as your manifestos remained only on paper since 70 yrs IndiaToday ndtv BJP4India INCIndia republic timesofindia Telegraph BBCWorld AmitShah
POSITIVE,INCIndia #Manifesto is to help and woes a particular section of societySelective people not a plural like BJP4India #Manifesto which aims at holistic development #2019LokSabhaElections public is wise enough to judge the right thing for them RahulGandhi
POSITIVE,Something unbelievable Congress party never discuss with anyone other than the Family And you say Manifesto prepared on the basis of discussion What about the recommendation of Gen Hoodas report Exact opposite in your manifesto
NEUTRAL,Ye sahi bol raha hai Mere saamne baith ke likha tha manifesto congress walo ne #smritisedrtahai2seatseldtahai
POSITIVE,Creating a manifesto with consultation is one thing but implementing it in a manner that will suit personal preservation is another
NEUTRAL,RahulGandhi
POSITIVE,PMOIndia sarbanandsonwal RSSorg BJP4India INCIndia RahulGandhi AnupamPKher TVMohandasPai please validate the news amp action please thanks
NEUTRAL,Rahul Gandhi
NEUTRAL,RahulGandhi
NEUTRAL,officekiran Shruti4Progress RahulGandhi HaryanaTweets
POSITIVE,Yes
NEUTRAL,#NYAY RahulGandhi sampitroda
NEUTRAL,Because they genuinely believe in democracy secularismWhile Congress manifesto has one agenda since 70 yrs GARIBI HATAO in reality khud ki Garibi hataya hai inhone BJP4India IndiaToday yadavtejashwi AmitShah republic RahulGandhi priyankagandhi Swamy39 narendramodi
POSITIVE,Pray to God that NAMO does not come back else this time nobody will be able save you from going to Tihar
POSITIVE,Yes Rahul Gandhi will talk only about RTI Womens Empowerment
POSITIVE,Kaha se debate karega Ye sirf apne jouranalist Friends ko interview deta hai Wo Bhi scripted fakeeri aur tonic Wala
POSITIVE,Its just like talking to mirror Is Arnob journalist RahulGandhi wont do such things
POSITIVE,Yes
NEGATIVE,Congress gave a slogan of Garibi Hatao as back as in 1971After that they had full majority in Parliament as well as in states many times Then what prevented them in removing Poverty Rahul Gandhi should answer this question first or stop talking like a stupid amp a duffer Joker
NEUTRAL,Phir chithi padhke Rahul bola Kab KG class se bahar aayega
NEUTRAL,Akir mil gai Nehru ne ise garibi se hatane ka wada kiya tha indra ne bhi iski garibi hattai thi rajeev ghandi ne bhi iski garibhi hatai thi ab rahul iski garibi hatayega phir priyanka iski garibi hatayegi RahulGandhi KapilSibal KapilMishraIND mssirsa TajinderBagga
NEGATIVE,RahulGandhi tauba tauba 72k scheme is not acceptable
NEGATIVE,yeh toh India ko Venezuela banana chahata hai but majority of Indians are not #Pappu like him though he really is not a pappu when it comes to enriching himself and his brother in law
NEUTRAL,Were you sitting outside of that room
NEUTRAL,PChidambaramIN What is this sir httpswwwopindiacom201904womenpaidtodoaartiofkartichidambaramquestionrahulgandhisnyayafterreceivingrs32insteadofthers500theywerepromised JhaSanjay RahulGandhi mkvenu1 svaradarajan RAJAGOPALAN1951 Swamy39 HRajaBJP
POSITIVE,Do agree
NEGATIVE,But the way Mehbooba and Omar are speaking to form a separate country now never heard these things before is it badly handled home affairs Which seem to have become foreign affairs Just thinking pankhuripathak anil100y LambaAlka prchandna #kashmir RahulGandhi
POSITIVE,#point to ponder Bharat Mata Ki Jai became communal while Bharat Tere Tukde Honge was called Freedom Of Expression kanhaiyakumar CEOBihar BiharPMC RSSorg INCGujarat INCIndia BJP4India RahulGandhi myogiadityanath
POSITIVE,Fully support RahulGandhi please allow priyankac19 to contest She is the face of Congress which voters can identify with than Urmila the retired actress When will the younger generation who tirelessly work for the party
POSITIVE,wht a joke I never laugh that much Thanks
NEGATIVE,#Point to ponder RSS org became terrorists but Hafiz Saheb and Hurriyats became pinnacles of nationalism and peace myogiadityanath PMOIndia RSSorg friendsofrss terror RahulGandhi udaypatel80555 INCIndia BJP4India
POSITIVE,RahulGandhi ArvindKejriwal priyankagandhi AapKaGopalRai It would be beneficial for both INCIndia and AamAadmiParty to enter into an alliance across Delhi and Haryana to ensure the defeat of saffron party
POSITIVE,PM narendramodi has done interviews with republic abpnewstv and tonight with CNNnews18 in the run upto the #2019LokSabhaElections Has RahulGandhi done even one interview At least a scripted interview with his family owned channel like ndtv or party owned Tiranga
