id,label,tweet,tidy_tweet
2738,,This is pathetic deplorable INCIndia pls hire professionals amp not corrupt ones This really shatters RahulGandhi amp INCIndia image Under INCIndia garibi hatao had terribly failed,thi pathet deplor incindia pl hire profession amp not corrupt one thi realli shatter rahulgandhi amp incindia imag under incindia garibi hatao had terribl fail
2739,,Please dont hesitate to vote for the great Congress and the best Rahul Gandhi,pleas dont hesit vote for the great congress and the best rahul gandhi
2740,,Aap pahle desh ke Bare mein jaan lo Nachane se aapko fursat kahan hain Chato RahulGandhi ke,aap pahl desh bare mein jaan nachan aapko fursat kahan hain chato rahulgandhi
2741,,Please dont forget to remove Fakendra Modis Fakupanti government,pleas dont forget remov fakendra modi fakupanti govern
2742,,Rahul Gandhi patta puch raha thakoi sukanya sahiba hae kya,rahul gandhi patta puch raha thakoi sukanya sahiba hae kya
2743,,Arti patel ji hai Jo ki bjp party ke bidhayak aur rajendra Shukla ki khas hhum logo ko Congress party ke hone ke bajah se wo apne adhikar ka miss use kerke humlogo ko paresan ker rhiplz help keriyebacha lijiye bjp ke mining inspector Arati Patel seplz reply me,arti patel hai bjp parti bidhayak aur rajendra shukla kha hhum logo congress parti hone bajah apn adhikar miss use kerk humlogo paresan ker rhiplz help keriyebacha lijiy bjp mine inspector arati patel seplz repli
2744,,#China is spreading under ocean #Railway lain #USA is searching life in #MARS #Russia is making #RobotArmy And India is seeking for next #Chowkidaar Hadd ho gayi #NaMoAgain #RahulGandhi #BJPJumlaManifesto,#china spread under ocean #railway lain #usa search life #mar #russia make #robotarmi and india seek for next #chowkidaar hadd gayi #namoagain #rahulgandhi #bjpjumlamanifesto
2745,,Most imp how congress can take it to poor masses Upper middle class and bjp Bhakra are going to redivide it as much as they can,most imp how congress can take poor mass upper middl class and bjp bhakra are go redivid much they can
2746,,Aaj sena ko modi sena keh diya kal videsh me bharat ko modi desh kahega kya denge aap aise insan k hath me desh #jagoindiajago janhit me zaripriyankagandhi RahulGandhi digvijaya28 priyankac19,aaj sena modi sena keh diya kal videsh bharat modi desh kahega kya deng aap ais insan hath desh #jagoindiajago janhit zaripriyankagandhi rahulgandhi digvijaya priyankac
2747,,Modi,modi
2748,,Would you please do the press conference on that,would you pleas the press confer that
2749,,The most important objective in bjp manifesto is ram mandir since 25 years but they didnt do anything for this bcz they know very well its only for promotions dont played with our culture we are indiananekta me ekta yhi hai bharat ki visheshta RahulGandhi priyankagandhi,the most import object bjp manifesto ram mandir sinc year but they didnt anyth for thi bcz they know veri well it onli for promot dont play with our cultur are indiananekta ekta yhi hai bharat visheshta rahulgandhi priyankagandhi
2750,,RahulGandhi dont you find any capable candidate who is better than Gandhi clan Or Gandhi name is the only criteria for PM Jyoti raj scindia and Sachin pilot has better experience and capability What about manmohan ji Dont you find you should give another oppurtunity,rahulgandhi dont you find ani capabl candid who better than gandhi clan gandhi name the onli criteria for jyoti raj scindia and sachin pilot ha better experi and capabl what about manmohan dont you find you should give anoth oppurtun
2751,,Hahahaha,hahahaha
2752,,I walked 15000 steps today and got the Urban Boot badge with Fitbit httpswwwfitbitcomuser7BJ45M #Fitstats #FitBit #humfittoindiafit #JeetpalYadav #RahulGandhi RahulGandhi,walk step today and got the urban boot badg with fitbit httpswwwfitbitcomus #fitstat #fitbit #humfittoindiafit #jeetpalyadav #rahulgandhi rahulgandhi
2753,,SoniyaGandhi10 ManmohanSingh RahulGandhi priyankagandhi AmitShah Drdeepakonline ChouhanShivraj OfficeOfKNath PMOIndia narendramodi INCMP INCIndia arunjaitley rajnathsingh abhilashBJPmp abpnewshindi ZeeNewsHindi PTINews rashtrapatibhvn JMScindia,soniyagandhi manmohansingh rahulgandhi priyankagandhi amitshah drdeepakonlin chouhanshivraj officeofknath pmoindia narendramodi incmp incindia arunjaitley rajnathsingh abhilashbjpmp abpnewshindi zeenewshindi ptinew rashtrapatibhvn jmscindia
2754,,Ekdum sahi kaha Thanks Chowkidar Krishna Happy 2 follow for follow back plz GN,ekdum sahi kaha thank chowkidar krishna happi follow for follow back plz
2755,,UNICEF realDonaldTrump RahulGandhi so terrible This is Good Day of Ruling Party BJP so Shame on you,unicef realdonaldtrump rahulgandhi terribl thi good day rule parti bjp shame you
2756,,I remember all above news channels behaved like vultures when Rahul Gandhi kept on saying lies against narendramodi ji on #Rafael and all media kept on asking PM repeatedly on Rafael shamelessly Pathetic media 22,rememb all abov news channel behav like vultur when rahul gandhi kept say lie against narendramodi #rafael and all media kept ask repeatedli rafael shamelessli pathet media
2757,,I pity all media house except Delhi lutyens like republic ZeeNews indiatvnews IndiaToday aajtak abpnewstv TimesNow etc that today why they are lip stitched on #ITRaid done on INCIndia why they not asking direct question to RahulGandhi OfficeOfKNath and ahmedpatel 12,piti all media hous except delhi lutyen like republ zeenew indiatvnew indiatoday aajtak abpnewstv timesnow etc that today whi they are lip stitch #itraid done incindia whi they not ask direct question rahulgandhi officeofknath and ahmedpatel
2758,,RahulGandhi httpswwwfacebookcom1689307351146541posts2131825410228064sfnsnmo,rahulgandhi httpswwwfacebookcom post sfnsnmo
2759,,Rahul Gandhi must check his pants are totally down This is the ugly face of the Congress mafia India will hammer the daylights out of the Congress theives in this election Republic TV has done a great service to the nation,rahul gandhi must check hi pant are total down thi the ugli face the congress mafia india will hammer the daylight out the congress theiv thi elect republ ha done great servic the nation
2760,,You know RahulGandhi belief system has lot to do with politics you must have the courage to change it,you know rahulgandhi belief system ha lot with polit you must have the courag chang
2761,,At least now SachinPilot and milinddeora should demand an apology from Kunal and also deleting the inappropriate tweet Actually I had regard for Kunal but lost with his low class tweet on RahulGandhi,least now sachinpilot and milinddeora should demand apolog from kunal and also delet the inappropri tweet actual had regard for kunal but lost with hi low class tweet rahulgandhi
2762,,Today Tripura state nsui Organised a bike rally in Agartalaout of two hundreds people attend the rallyRahulGandhi PradyotManikya BhupenKBorah guptar sushmitadevmp Neerajkundan smrutirlenka smrutirlenka Allavaru keshavyadaviyc INCIndia INCTripura SATAVRAJEEV,today tripura state nsui organis bike ralli agartalaout two hundr peopl attend the rallyrahulgandhi pradyotmanikya bhupenkborah guptar sushmitadevmp neerajkundan smrutirlenka smrutirlenka allavaru keshavyadaviyc incindia inctripura satavrajeev
2763,,#yoddha #RahulGandhi #nyay #hamaribhoolkamalkaphool,#yoddha #rahulgandhi #nyay #hamaribhoolkamalkaphool
2764,,httpswwwfacebookcomZeeBiharJharkhandvideos2271682659557944 RahulGandhi rajeevgowda DrMadanMohanJha shaktisinhgohil virenderrathor INCIndia INCBihar INCSandesh incsanjeev RkAgarwal140961,httpswwwfacebookcomzeebiharjharkhandvideo rahulgandhi rajeevgowda drmadanmohanjha shaktisinhgohil virenderrathor incindia incbihar incsandesh incsanjeev rkagarw
2765,,9 cr mile hein aur few hundred crore ke kagaj,mile hein aur few hundr crore kagaj
2766,,Bjp neither promised 33 reservation for womens nor promises new jobs for youth of India also did not mentioned lokayukta kaladhan It seems bjp already accepted its defeat from INCIndia Sihansan Khali Karo PMOIndia Rahul ji RahulGandhi is coming Ppl vote for INCIndia,bjp neither promis reserv for women nor promis new job for youth india also did not mention lokayukta kaladhan seem bjp alreadi accept it defeat from incindia sihansan khali karo pmoindia rahul rahulgandhi come ppl vote for incindia
2767,,sampitroda Vs Monkye Team Thukde Gang INCIndia RahulGandhi ji ka Master Same to same amp Shame,sampitroda monky team thukd gang incindia rahulgandhi master same same amp shame
2768,,Sab thik hai corruption INCIndia ki sanscruti hai but bichare Tiger ko kyu Mara RahulGandhi aajtak TimesNow have you time to investigate,sab thik hai corrupt incindia sanscruti hai but bichar tiger kyu mara rahulgandhi aajtak timesnow have you time investig
2769,,Interpretation of Mahabharata reveals some interesting facts,interpret mahabharata reveal some interest fact
2770,,#NITMEGHALAYA See the situation of Students who were badly beaten by the locals of Meghalaya Whatever be the reason is this way to treat with Students who have came from far distance just to study rajnathsingh nsitharaman RamNathGovindIN RahulGandhi httpswwwfacebookcomiamannitianvideos2599828403378222,#nitmeghalaya see the situat student who were badli beaten the local meghalaya whatev the reason thi way treat with student who have came from far distanc just studi rajnathsingh nsitharaman ramnathgovindin rahulgandhi httpswwwfacebookcomiamannitianvideo
2771,,INC INCIndia WALO RahulGandhi tera ashokgehlot51 SachinPilot CMRajasthan Pvt higher education ki dukan chala raha haiPvt University masters doctorate ki degree bech rahi kis udhesya ke liye Pvt Uiv ko manyta di hai INCIndia walo rajniti main Pariwarwadiyo action knyoNahi,inc incindia walo rahulgandhi tera ashokgehlot sachinpilot cmrajasthan pvt higher educ dukan chala raha haipvt univers master doctor degre bech rahi ki udhesya liy pvt uiv manyta hai incindia walo rajniti main pariwarwadiyo action knyonahi
2772,,Dekh bhi liya,dekh bhi liya
2773,,RahulGandhi SoniaGandhiFC priyankagandhi CNNIBNLive ZeeNews abpnewstv BBCWorld BBCHindi The difference in the picture shows who brings development to the country and who uses the country,rahulgandhi soniagandhifc priyankagandhi cnnibnliv zeenew abpnewstv bbcworld bbchindi the differ the pictur show who bring develop the countri and who use the countri
2774,,Congrats2 Big Empty Heads who plan Campaign Schedules What logicsense doing multiple Rallies now in Phase 567Areas Why cant RalliesRoadshows planned simply according2 PhasePoll Dates rajeevgowda ahmedpatel pravchak rssurjewala RahulGandhi priyankagandhi Pawankhera,congrat big empti head who plan campaign schedul what logicsens do multipl ralli now phase area whi cant ralliesroadshow plan simpli accord phasepol date rajeevgowda ahmedpatel pravchak rssurjewala rahulgandhi priyankagandhi pawankhera
2775,,Congress is expected to do better in Jharkhand this time so may be he has a chance,congress expect better jharkhand thi time may ha chanc
2776,,RahulGandhi rssurjewala JMScindia AcharyaPramodk proof of loot by congresd cm of mp kamalnath 5 hi mhine me kisano aur garibo ke pasino ki kamai loot li Ab bolo tumhe janta vote kyo kare,rahulgandhi rssurjewala jmscindia acharyapramodk proof loot congresd kamalnath mhine kisano aur garibo pasino kamai loot bolo tumh janta vote kyo kare
2777,,Well done kajalji Expose more on communal violence bill of congresssonia gandhi and rahul gandhi and the dangerous intentions to crush hindus sambitswaraj TajinderBagga AmitKalrajOffc ShobhaBJP melocket BJP4Keralam,well done kajalji expos more commun violenc bill congresssonia gandhi and rahul gandhi and the danger intent crush hindu sambitswaraj tajinderbagga amitkalrajoffc shobhabjp melocket bjp keralam
2778,,RahulGandhi AICCMedia AiccItcell priyankagandhi ahmedpatel ashokgehlot51 SATAVRAJEEV shaktisinhgohil rssurjewala KapilSibal nafees43,rahulgandhi aiccmedia aiccitcel priyankagandhi ahmedpatel ashokgehlot satavrajeev shaktisinhgohil rssurjewala kapilsib nafe
2779,,Is bar RahulGandhi and Sonia se wasuli hogi,bar rahulgandhi and sonia wasuli hogi
2780,,Rahul can hold a gay March,rahul can hold gay march
2781,,Right,right
2782,,Chori mp me crore ki garibo ka Rahul gandhi ke surname me gandhi hai lekin bapu mhatma gandhiji to honest the,chori crore garibo rahul gandhi surnam gandhi hai lekin bapu mhatma gandhiji honest the
2783,,When you see good things in a person no matter whether he is your friend or enemy the ability you have to appreciate that person is something I called as quality Thank you writer Sakhariah for the good words ShashiTharoor RahulGandhi INCIndia #TharoorForTrivandrum,when you see good thing person matter whether your friend enemi the abil you have appreci that person someth call qualiti thank you writer sakhariah for the good word shashitharoor rahulgandhi incindia #tharoorfortrivandrum
2784,,70 saal se tumhari sarkar thi tab kaya diya jo ab nikl pada he hamko ye bata amethi se kayu bhaga,saal tumhari sarkar thi tab kaya diya nikl pada hamko bata amethi kayu bhaga
2785,,JhaSanjay INCIndia RahulGandhi priyankagandhi Why is Ahmed Patel preventing IT personnel from discharging their duties They are just raiding the corrupt is this your #NYAYForIndia,jhasanjay incindia rahulgandhi priyankagandhi whi ahm patel prevent personnel from discharg their duti they are just raid the corrupt thi your #nyayforindia
2786,,Desh drohion RahulGandhi hai na Kala dhan INCIndia ke pas hai #PhirEkBaarModiSarkar,desh drohion rahulgandhi hai kala dhan incindia pa hai #phirekbaarmodisarkar
2787,,Dear chennaipolice Never commit suicide My brother RahulGandhi will give 6000pee month Join my NGO and Global WeMen Party at Veeru Chats,dear chennaipolic never commit suicid brother rahulgandhi will give pee month join ngo and global wemen parti veeru chat
2788,,RahulGandhi,rahulgandhi
2789,,This is real development being done by ArvindKejriwal s ally RahulGandhi,thi real develop be done arvindkejriw alli rahulgandhi
2790,,Congress is Eating Hindustan ka Tools,congress eat hindustan tool
2791,,wish RahulGandhi INCIndia get similar Professional Videography ampLivecastTeam 2capture wider crowd views 2b telecast across country Why cant Cong get a Team fm mkstalin Chennai Capital f Cinematography rajeevgowda sampitroda pravchak Pawankhera ahmedpatel priyankagandhi,wish rahulgandhi incindia get similar profession videographi amplivecastteam captur wider crowd view telecast across countri whi cant cong get team mkstalin chennai capit cinematographi rajeevgowda sampitroda pravchak pawankhera ahmedpatel priyankagandhi
2792,,Rahul Gandhi lives on Tughlak Road,rahul gandhi live tughlak road
2793,,Dont jump to much om,dont jump much
2794,,And RahulGandhi is in love with him,and rahulgandhi love with him
2795,,#ModiHaiToAurKyaChahiye Modi Hai To Aur Kya Chahiye #ModiAgain #PhirEkBaarModiSarkar #BJPManifesto #bjpSankalpPatr2019 narendramodi AmitShah BJP4India sambitswaraj RahulGandhi,#modihaitoaurkyachahiy modi hai aur kya chahiy #modiagain #phirekbaarmodisarkar #bjpmanifesto #bjpsankalppatr narendramodi amitshah bjp india sambitswaraj rahulgandhi
2796,,dream stay will dream,dream stay will dream
2797,,MRPAPPU YE JO RUPAY TUMHARE YAHAN SE MIL RAHE HAI KAHA SE AAYE BATAOGE PLS,mrpappu rupay tumhar yahan mil rahe hai kaha aay bataog pl
2798,,Ashutosh jaise Journalist is a pimps of khangress,ashutosh jais journalist pimp khangress
2799,,Public ko ye difference dikhta he Vote kise dena dekha lo narendramodi RahulGandhi,public differ dikhta vote kise dena dekha narendramodi rahulgandhi
2800,,YE KUTIYA KO CONGRESS NE BHAUKNE K LIYE HI RAKHA HAI 23 MAY KO SHANT HO JAYEGI,kutiya congress bhaukn liy rakha hai may shant jayegi
2801,,Six is a lucky number for them Hence the symbol has been modified,six lucki number for them henc the symbol ha been modifi
2802,,INCIndia under RahulGandhi show their real colour outright gundaism,incindia under rahulgandhi show their real colour outright gundaism
2803,,awake1975 So time now for exposure of Cong lies RahulGandhi with a straight face convinced students that INCIndia had an offer at 560 cr per Rafale fighter n BJP4India govt bought at 1620 crores That was superb professional lying nsitharaman JhaSanjay N Ram thehindu,awak time now for exposur cong lie rahulgandhi with straight face convinc student that incindia had offer per rafal fighter bjp india govt bought crore that wa superb profession lie nsitharaman jhasanjay ram thehindu
2804,,Moral victory for pappu RahulGandhi if he will get 60 in time amp chamcha so called terrorist rssurjewala,moral victori for pappu rahulgandhi will get time amp chamcha call terrorist rssurjewala
2805,,Saying to before see own your face on mirror,say befor see own your face mirror
2806,,This is just amazing If Pulwama kind stuff repeats then you will ask for civilian ban for security This is selective media Big disappointment from rahulkanwal who is now pro RahulGandhi,thi just amaz pulwama kind stuff repeat then you will ask for civilian ban for secur thi select media big disappoint from rahulkanw who now pro rahulgandhi
2807,,Its time for Rahul to go to some country for meditation,it time for rahul some countri for medit
2808,,Dont be a over smart oknarendramodi bjphar har bjp,dont over smart oknarendramodi bjphar har bjp
2809,,TheVijayMallya come back to India Do not waste your time and money in UK Congress legal expert in india will help you RahulGandhi narendramodi,thevijaymallya come back india not wast your time and money congress legal expert india will help you rahulgandhi narendramodi
2810,,A true courageous lover indeed,true courag lover inde
2811,,awake1975 So thats it Congis Truth will surface So where r de hiding their faces This will keep repeating as RahulGandhi INCIndia get exposed over their daily lies to put up a front Cong only good at lies n naming of national assets JhaSanjay thewirein DilliDurAst,awak that congi truth will surfac where hide their face thi will keep repeat rahulgandhi incindia get expos over their daili lie put front cong onli good lie name nation asset jhasanjay thewirein dillidurast
2812,,RahulGandhi your NYAY,rahulgandhi your nyay
2813,,httpsyoutubewwHyGiSiw1U I too feel ashamed when PMOIndia differentiate any constituency just on cast base for him Indian are either Hindu or non Hindu not citizen of this incredible India Its pity such mindset is there on top post of India RahulGandhi keep going,httpsyoutubewwhygisiw too feel asham when pmoindia differenti ani constitu just cast base for him indian are either hindu non hindu not citizen thi incred india it piti such mindset there top post india rahulgandhi keep go
2814,,RahulGandhi AmedPtel hiding after IT ride NYAY,rahulgandhi amedptel hide after ride nyay
2815,,Barabar hai na Jo jite the unko 5 sal salary Mili thi na Maje ki bat ye hai ki Jo sale Hare huye hai unke pass paise kaha se aye or kaha ka paisa uda rahe hai ArvindKejriwal Delhi ka INCIndia 60 Salo ka Jana kiya Hua Or 5 sal me salary RahulGandhi ki double,barabar hai jite the unko sal salari mili thi maje bat hai sale hare huy hai unk pass pais kaha aye kaha paisa uda rahe hai arvindkejriw delhi incindia salo jana kiya hua sal salari rahulgandhi doubl
2816,,Jai ho Congress jindabad Rahul gandhi jindabad Choukidar chor hai Choukidar have no vision and no intention for development of the country because they are selfcentered and shameless Jai ho Congress jindabad Rahul gandhi jindabad,jai congress jindabad rahul gandhi jindabad choukidar chor hai choukidar have vision and intent for develop the countri becaus they are selfcent and shameless jai congress jindabad rahul gandhi jindabad
2817,,Today Street Corner at Khayerpur Agartala for upcoming Loksabha election 2019 in favour of INCIndia West Tripura candidate #SriSubalBhowmik #VoteForCongress INCIndia RahulGandhi KimHaokipINC INCTripura PradyotManikya BaptuTripuraINC,today street corner khayerpur agartala for upcom loksabha elect favour incindia west tripura candid #srisubalbhowmik #voteforcongress incindia rahulgandhi kimhaokipinc inctripura pradyotmanikya baptutripurainc
2818,,Photoshop too exposed Mr Rahul Gandhi,photoshop too expos rahul gandhi
2819,,Just see what he has done for the country and what Congress has done so far Shame on priyankagandhi supportcongress RahulGandhi Modi Ji will back as PM #abkibarphirmodisarkar #ModiHainTohMumkinHain,just see what ha done for the countri and what congress ha done far shame priyankagandhi supportcongress rahulgandhi modi will back #abkibarphirmodisarkar #modihaintohmumkinhain
2820,,Is it a threatening to News Reporters and News Channels Modiji be cool Such temperament doesnt suit to a PM,threaten new report and new channel modiji cool such tempera doesnt suit
2821,,#ElectionDirtyCash 281 CroresRahul Gandhi Sonia Gandhi Ahmad Patel CHOR HAI,#electiondirtycash croresrahul gandhi sonia gandhi ahmad patel chor hai
2822,,Whats INCIndia responding to this Any views RahulGandhi,what incindia respond thi ani view rahulgandhi
2823,,Today street corner at Ashram Chowmani Agartala for upcoming Loksabha election 2019 in favour of West Tripura candidate #SriSubalBhowmik #VoteForCongress INCIndia RahulGandhi KimHaokipINC INCTripura PradyotManikya BaptuTripuraINC,today street corner ashram chowmani agartala for upcom loksabha elect favour west tripura candid #srisubalbhowmik #voteforcongress incindia rahulgandhi kimhaokipinc inctripura pradyotmanikya baptutripurainc
2824,,Jai ho Congress jindabad,jai congress jindabad
2825,,Many many congratulations to him Jai ho Congress jindabad Choukidar chor hai Choukidar is cheating people People should unitedly try to throw feku gang away from power otherwise they will destroy everything Congress jindabad,mani mani congratul him jai congress jindabad choukidar chor hai choukidar cheat peopl peopl should unitedli tri throw feku gang away from power otherwis they will destroy everyth congress jindabad
2826,,Rahul Gandhi NYAY scheme picture Mystery hand decoded just a bad Photoshop Elections News,rahul gandhi nyay scheme pictur mysteri hand decod just bad photoshop elect new
2827,,INCIndia RahulGandhi,incindia rahulgandhi
2828,,in saalo ko gaand me koi jarur goli maar dega e poluce bale ke saath gakat kiya hai is kamina kutte ke aulad neta ne,saalo gaand koi jarur goli maar dega poluc bale saath gakat kiya hai kamina kutt aulad neta
2829,,Failed or successful surgical strike meant that some really young Indians had to fly across a hostile border and face death Such acts of valour are possible only when these young men know that there is a nation rooting for their successPaste this on your mirror RahulGandhi,fail success surgic strike meant that some realli young indian had fli across hostil border and face death such act valour are possibl onli when these young men know that there nation root for their successpast thi your mirror rahulgandhi
2830,,Indian males need insurance Plan to cover expenses of matrimonial dispute #Policy4Men LICIndiaForever LawComIndia PMOIndia hmoindia rajnathsingh KirenRijiju ajaymaken RahulGandhi ShashiTharoor SushmaSwaraj smritiirani shefVaidya dna PTINews ANI,indian male need insur plan cover expens matrimoni disput #polici men licindiaforev lawcomindia pmoindia hmoindia rajnathsingh kirenrijiju ajaymaken rahulgandhi shashitharoor sushmaswaraj smritiirani shefvaidya dna ptinew ani
2831,,Arre Kyun bakwas pelte rahte ho jaao enjoy karo Itali mei,arr kyun bakwa pelt raht jaao enjoy karo itali mei
2832,,Bhagwan kare tumhara beta rahul gandhi k akal ka paida ho,bhagwan kare tumhara beta rahul gandhi akal paida
2833,,Mr Chidambaram what is ur comments PChidambaramIN INCMumbai INCIndia ahmedpatel OfficeOfKNath RahulGandhi priyankagandhi rssurjewala kharge,chidambaram what comment pchidambaramin incmumbai incindia ahmedpatel officeofknath rahulgandhi priyankagandhi rssurjewala kharg
2834,,RahulGandhi priyankagandhi ShatruganSinha jabab do,rahulgandhi priyankagandhi shatrugansinha jabab
2835,,RAHULPAPPU THE NATION WANT TO KNOW FROM WHOM HAVE CONGRESS GOT THIS 281 CRORE RUPEES WHICH THE IT RAIDED,rahulpappu the nation want know from whom have congress got thi crore rupe which the raid
2836,,Dear narendramodi ji aapne India ko 5 Saalme Kya se Kya bna diya Hain OMG RahulGandhi BJP4India INCIndia,dear narendramodi aapn india saalm kya kya bna diya hain omg rahulgandhi bjp india incindia
2837,,Why #nitingadkari was not present today when BJP4India launches its manifesto AmitShah narendramodi ShatruganSinha RahulGandhi RSSorg yadavakhilesh Mayawati MamataOfficial RajThackeray uddhavthackeray ncbn ikamalhaasan KTRTRS ArvindKejriwal ArvindKejriwal,whi #nitingadkari wa not present today when bjp india launch it manifesto amitshah narendramodi shatrugansinha rahulgandhi rssorg yadavakhilesh mayawati mamataoffici rajthackeray uddhavthackeray ncbn ikamalhaasan ktrtr arvindkejriw arvindkejriw
2838,,republic ZeeNews RahulGandhi INCIndia BJP4India MamataOfficial rajendradarda rssurjewala asadowaisi ArvindKejriwal,republ zeenew rahulgandhi incindia bjp india mamataoffici rajendradarda rssurjewala asadowaisi arvindkejriw
2839,,Ajay ji ye govt trial and error pr chal rahi hai aur jaisa aap jaante hain abhi hamare yehaan 80 log garib aur anpadh hain bahak rahi hai Aaj 40 garib hain jinhen do time ka khana nahin miltaJumlebaazi se pet nahi bharata Jai Hind,ajay govt trial and error chal rahi hai aur jaisa aap jaant hain abhi hamar yehaan log garib aur anpadh hain bahak rahi hai aaj garib hain jinhen time khana nahin miltajumlebaazi pet nahi bharata jai hind
2840,,INCIndia OfficeOfKNath BJP4India narendramodi on the IT raid comments of MP BJP werent as sharp as it should be But I feel sorry for them whose offshore companies have been found #ModiLaoDeshBanao #BharatBoleModiModi #ModiHainTohMumkinHain #BattleOf2019 RahulGandhi,incindia officeofknath bjp india narendramodi the raid comment bjp werent sharp should but feel sorri for them whose offshor compani have been found #modilaodeshbanao #bharatbolemodimodi #modihaintohmumkinhain #battleof rahulgandhi
2841,,It seems Madam Gandhi is upset that why Rahul jis picture should be printed on it For that small picture itself If Congress would have printed such a big pic of RG like Modi has done Madam Gandhi would have asked to republish the manifesto without RG picture,seem madam gandhi upset that whi rahul ji pictur should print for that small pictur itself congress would have print such big pic like modi ha done madam gandhi would have ask republish the manifesto without pictur
2842,,Here you go After Wayanad Rahul Gandhi is all set to file his nomination from Amethi on April 10th UPA Chairperson Sonia Gandhi will file her papers on April 11 Priyanka Gandhi to be present too,here you after wayanad rahul gandhi all set file hi nomin from amethi april upa chairperson sonia gandhi will file her paper april priyanka gandhi present too
2843,,Aaj modiji ke paas kisi Data ki jaankari nahi hai na naukari ki na garibon ki na gaon ki na industry ki na HistoryGeoraphy ki Actually ye Lohia Jagjivan RamG FernandizKarpoori thakurChandra shekhar to hai nahi Kewal gaaliyan dene se koi mahaan nahi ban jaata,aaj modiji paa kisi data jaankari nahi hai naukari garibon gaon industri historygeoraphi actual lohia jagjivan ramg fernandizkarpoori thakurchandra shekhar hai nahi kewal gaaliyan dene koi mahaan nahi ban jaata
2844,,follow back,follow back
2845,,Rahul par vishvaash hai kyunki vo dil ke paas hai,rahul par vishvaash hai kyunki dil paa hai
2846,,Sorry dude I am given to discern otherwise The society of Muslims in Kashmir in general lent sanctions to the idea of racial cleansing out of a stupid fancy for some stone age khaliphate in 80s Though time has made them to reconcile with reality yet the past bears its spot,sorri dude given discern otherwis the societi muslim kashmir gener lent sanction the idea racial cleans out stupid fanci for some stone age khaliph though time ha made them reconcil with realiti yet the past bear it spot
2847,,Kalua You will never ask that from where this vast amount of money came form,kalua you will never ask that from where thi vast amount money came form
2848,,Wow RahulGandhi INCIndia You made one More Scam 6 Finger for make in India Enjoying in Italy BJP4India ZeeNews republic NamoAgainIN PMOIndia PMOIndiaRC Pls take actions Election2ol9 ceokarnataka 1947democracy suvarnanewstv publictvnews DighvijayNews,wow rahulgandhi incindia you made one more scam finger for make india enjoy itali bjp india zeenew republ namoagainin pmoindia pmoindiarc pl take action elect ceokarnataka democraci suvarnanewstv publictvnew dighvijaynew
2849,,RahulGandhi PMOIndia narendramodi work hard Rahul do not loose heart and continue doing rally and temple visits Remember you are challenger and need only 120 seats Which is possible,rahulgandhi pmoindia narendramodi work hard rahul not loos heart and continu do ralli and templ visit rememb you are challeng and need onli seat which possibl
2850,,Sab kha jayegaetne salo se bhukhe haiaur narendramodi ji n notebandi me sab paise le liyeAb pata chala RahulGandhi line me 2000 exchange krne gye the,sab kha jayegaetn salo bhukh haiaur narendramodi notebandi sab pais liyeab pata chala rahulgandhi line exchang krne gye the
2851,,This is sampitrodas and RahulGandhis #Nyay scheme in a broader perspective Also comedians like kunalkamra88 varungrover thevirdas should learn from this Gentleman George Carlin #NotABhakt,thi sampitroda and rahulgandhi #nyay scheme broader perspect also comedian like kunalkamra varungrov thevirda should learn from thi gentleman georg carlin #notabhakt
2852,,Hame padhne ki jarurat nahi aapne kah diyaa to vishvaash hai,hame padhn jarurat nahi aapn kah diyaa vishvaash hai
2853,,Hahahaha Ask her to get one for me Kyuki HasibaAmin Di ab hm log ki kaha sunti hai,hahahaha ask her get one for kyuki hasibaamin log kaha sunti hai
2854,,Ha Ha RaGa dont forget about Sita Ram Keshri whole world witnessed what they have done to senior party leader Hmm Have you forgotten about PV Narsimha Rao Sahab who didnt get space at AICC after his death,raga dont forget about sita ram keshri whole world wit what they have done senior parti leader hmm have you forgotten about narsimha rao sahab who didnt get space aicc after hi death
2855,,Middle finger thoda Sarak gayi hai RahulGandhi ki,middl finger thoda sarak gayi hai rahulgandhi
2856,,#pappuchorhai RahulGandhi,#pappuchorhai rahulgandhi
2857,,Aaj Income tax FERAEDCBI ka raid kr achievement bataya ja raha hai wo to bina Demontization kiye bhi hota ye sb to pahle se tha Demnetzatn ne lakhon longo ko maar diya Aap padhe likhe hain inke chaal ko samjhen Naye currency print pr 23000 crore public money waste hua,aaj incom tax feraedcbi raid achiev bataya raha hai bina demont kiy bhi hota pahl tha demnetzatn lakhon longo maar diya aap padh likh hain ink chaal samjhen nay currenc print crore public money wast hua
2858,,AkMirabai sushmitadevmp RahulGandhi Gaikhangam2 INCManipur OinamNabakisho1 MutumSarma KimHaokipINC Meeting held at Takyel Khongbal Under Patsoi AC for the coming 17LS election with Honourable local MLA,akmirabai sushmitadevmp rahulgandhi gaikhangam incmanipur oinamnabakisho mutumsarma kimhaokipinc meet held takyel khongbal under patsoi for the come elect with honour local mla
2859,,Show it to your master of #stupidsofindianpolitics RahulGandhi he needs more such education,show your master #stupidsofindianpolit rahulgandhi need more such educ
2860,,bagga ko bhai kehna Bhai jaise pavitra rishte ka apmaan hai Inka jhoot kitni hi baar pakda jaa chuka Par kya kare aadat jo hai,bagga bhai kehna bhai jais pavitra risht apmaan hai inka jhoot kitni baar pakda jaa chuka par kya kare aadat hai
2861,,Hardik ni har nakki che,hardik har nakki che
